scientific_names
Formicarius analis
Molothrus oryzivorus
Tyrannulus elatus
Tersina viridis
Calliphlox amethystina
Megascops watsonii
Florisuga mellivora
Campylopterus largipennis
Mionectes oleagineus
Todirostrum chrysocrotaphum
Vireo chivi
Odontophorus stellatus
Aburria aburri
Tolmomyias viridiceps
Aramides cajaneus
Vanellus chilensis
Myiornis ecaudatus
Cathartes melambrotus
Hydropsalis climacocerca
Mionectes galbinus
Myiozetetes granadensis
Leptotila verreauxi
Phaethornis ruber
Piculus leucolaemus
Myrmotherula axillaris
Tangara velia
Crypturellus soui
Leptotila rufaxilla
Nyctidromus albicollis
Phaethornis malaris
Cercomacroides nigrescens
Automolus ochrolaemus
Lophotriccus pileatus
Attila spadiceus
Megarynchus pitangua
Microcerculus marginatus
Turdus albicollis
Habia rubica
Cyanoloxia rothschildii
Vanellus cayanus
Nannopterum brasilianum
Egretta thula
Chelidoptera tenebrosa
Dromococcyx pavoninus
Myrmoborus leucophrys
Streptoprocne zonaris
Heliornis fulica
Tigrisoma fasciatum
Sarcoramphus papa
Ictinia plumbea
Chloroceryle amazona
Aratinga weddellii
Psittacara leucophthalmus
Pygochelidon cyanoleuca
Stilpnia cyanicollis
Coragyps atratus
Pteroglossus castanotis
Tachyphonus rufus
Trogon viridis
Tyranneutes stolzmanni
Geotrygon montana
Ara militaris
Tityra semifasciata
Tolmomyias poliocephalus
Euphonia xanthogaster
Loriotus rufiventer
Stilpnia nigrocincta
Saltator grossus
Pionus menstruus
Myiarchus ferox
Psarocolius decumanus
Pyrrhura roseifrons
Pachyramphus polychopterus
Tangara callophrys
Cymbilaimus lineatus
Hafferia fortis
Xiphorhynchus guttatus
Ornithion inerme
Eurypyga helias
Ibycter americanus
Tangara schrankii
Patagioenas subvinacea
Crotophaga ani
Heliodoxa aurescens
Actitis macularius
Rupicola peruvianus
Pitangus sulphuratus
Thraupis episcopus
Chlorophanes spiza
Momotus momota
Lipaugus vociferans
Selenidera reinwardtii
Campephilus melanoleucos
Doryfera johannae
Heliothryx auritus
Chrysuronia oenone
Ceratopipra chloromeros
Tringa flavipes
Sciaphylax hemimelaena
Glyphorynchus spirurus
Cephalopterus ornatus
Trogon melanurus
Willisornis poecilinotus
Todirostrum cinereum
Cyanocorax cyanomelas
Pteroglossus azara
Thamnophilus schistaceus
Vireo olivaceus
Euphonia laniirostris
Dacnis flaviventer
Hemitriccus griseipectus
Penelope jacquacu
Chondrohierax uncinatus
Euphonia rufiventris
Arremon taciturnus
Tangara gyrola
Jacamerops aureus
Myrmotherula menetriesii
Myrmophylax atrothorax
Dacnis cayana
Ramphastos tucanus
Vireo flavoviridis
Catharus ustulatus
Ixothraupis xanthogastra
Tangara mexicana
Dacnis lineata
Myiothlypis fulvicauda
Ortalis guttata
Cathartes aura
Monasa nigrifrons
Patagioenas plumbea
Coccyzus americanus
Thalurania furcata
Rupornis magnirostris
Trogon curucui
Trogon collaris
Dryocopus lineatus
Daptrius chimachima
Primolius couloni
Thamnophilus caerulescens
Myrmotherula brachyura
Machaeropterus pyrocephalus
Atticora fasciata
Euphonia minuta
Psarocolius bifasciatus
Thraupis palmarum
Cyanerpes caeruleus
Saltator maximus
Piaya cayana
Phaethornis koepckeae
Celeus grammicus
Sayornis nigricans
Ochthornis littoralis
Myiozetetes similis
Tyrannus melancholicus
