order,family,genera,species,name,status
Amphibia,Aromobatidae,Allobates ,Allobates conspicuus,,
Amphibia,Dendrobatidae,Ameerega,Ameerega macero,,
Amphibia,Dendrobatidae,Ameerega,Ameerega hahneli,,
Squamata,Teiidae,Ameiva ,Ameiva ameiva,,
Squamata,Dactyloidae,Anolis ,Anolis fuscoauratus,,
Squamata,Dactyloidae,Anolis ,Anolis punctatus,,
Squamata,Viperidae,Bothrops ,Bothrops atrox,Jergon,
Amphibia,Leptodactylidae,Botiloglosa ,Bolitoglossa altamazonica,,
Squamata,,Cercosaura,Cercosaura eigenmanni,,
Squamata,Testudinidae,Chelonoidis ,Chelonoidis denticulata,,
Amphibia,Hylidae,Dendropsophus ,Dendropsophus rhodopeplus,,
Squamata,Colubridae,Drymobius ,Drymobius rhombifer,,
Squamata,Colubridae,Dypsas ,Dipsas catesbyi,,
Squamata,,Gonatodes,Gonatodes hasemani,,
Amphibia,Leptodactylidae,Hamptophryne ,Hamptophryne boliviana,,
Amphibia,Hylidae,Boana,Boana fasciata,,
Amphibia,Hylidae,Boana,Boana lanciformis,,
Squamata,Colubridae,Imantodes,Imantodes lentiferus,,
Squamata,Colubridae,Imantodes ,Imantodes cenchoa,,
Squamata,Viperidae,Lachesis ,Lachesis muta,Shushupe,
Amphibia,Leptodactylidae,Leptodactylus ,Leptodactylus pentadactylus,,
Amphibia,Leptodactylidae,Leptodactylus ,Adenomera andreae,,
Squamata,Elapidae,Micrurus ,Micrurus obscurus,,
Amphibia,,Osteocephalus,Osteocephalus taurinus,,
Amphibia,,Osteocephalus cf,Osteocephalus buckleyi,,
Amphibia,,Osteocephaus,Osteocephalus leprieurii,,
Squamata,Alligatoridae,Paleosuchus ,Paleosuchus trigonatus,,
Squamata,Alligatoridae,Paleosuchus ,Paleosuchus palpebrosus,,
Squamata,Chelidae,Phrynops ,Phrynops geoffroanus,,
Amphibia,Hylidae,Phyllomedusa ,Phyllomedusa vaillantii,,
Squamata,Podocnemidae,Podocnemis ,Podocnemis expansa,,
Squamata,Podocnemidae,Podocnemis ,Podocnemis unifilis,,
Squamata,Poluchrotidae,Polychrus ,Polychrus liogaster,,
Amphibia,,Pristimantis cf,Pristimantis ockendeni,,
Amphibia,,Pristimantis cf,Pristimantis minutulus,,
Amphibia,,Rhinella,Rhinella marina,,
Amphibia,Bufonidae,Rhinella ,Rhinella marina,,
Amphibia,Hylidae,Trachycephalus ,Trachycephalus typhonius,,
Squamata,Teiidae,Tupinambis ,Tupinambis teguixin,,
