family,genus,species,name,status,obs
Menispermaceae,Abuta,Abuta grandiflora,,Casi amenaza,PMB 2015
,Adiantum ,Adiantum tetraphyllum,,,hierbas comunes en el sotobosque tropical lluvioso
Fabaceae,Albizia ,Albizia niopoides,Pashaquillo blanco,LC,Maderable
Euphorbiaceae,Alchornea ,Alchornea triplinervia,,,
Fabaceae,Amburana ,Amburana cearensis,,Vulnerable,PMB 2015
,Anadenanthera ,Anadenanthera peregrina,Yopo,,Arbol
Bromelidae,Ananas ,Ananas comusus ,Piña,,Frutales
Annonaceae,Anaxogorea,Anaxogorea,,,
Annonaceae,Anaxogorea,Anaxogorea pachypetala,,,Endemica
Annonaceae,Annona,Annona,,,
Annonaceae,Annona,Annona hypoglauca,,,
,Aphelandra,Aphelandra,,,
Fabaceae,Apuleia ,Apuleia leiocarpa,Anacaspi,LC,Maderable
Annonaceae,Ardisia,Ardisia nigrovieren,,,Endemica
Apocynaceae,Aspidosderma,Aspidosderma,,,PMB 2015
Apocynaceae,Aspidosperma ,Aspidosperma parvifolium,,,
Arecaceae,Astrocaryum ,Astrocaryum javarense,Huicungo,,"Arbustivo, herbaceo"
Arecaceae,Astrocaryum ,Astrocaryum murmuru,Chonta,,"Arbustivo, herbaceo"
Arecaceae,Attalea ,Attalea butyracea,Palmera de Shebon / Shevon ,,"Arbustivo, herbaceo"
Arecaceae,Attalea ,Attalea phalerata,Shapaja,,"Arbustivo, herbaceo"
,Baccharis ,Baccharis pedunculata,,,especie pionera arborea y arbustiva
,Banara,Banara,,,PMB 2015
Fabaceae,Bauhinia ,Bauhinia sp1,,,
,Bixa ,Bixa platycarpa,,,especie pionera arborea y arbustiva
Moracea,Brosimum,Brosimum,,,PMB 2015
Solanaceae,Brunfelsia ,Brunfelsia grandiflora,Chirisanango,,"Arbustivo, herbaceo"
Maranthaceae,Calathea ,Calathea lutea,Bijao,,"Arbustivo, herbaceo"
,Calatola ,Calatola costaricensis,,,Especies de arboles mas comunes
Rubiaceae,Calycophyllum ,Calycophyllum spruceanum,Capirona,LC,Maderable
,Calyptranthes,Calyptranthes 4,,,
Myrtaceae,Calyptranthes,Calyptranthes desiflroa,,DD,
Myrtaceae,Calyptranthes,Calyptranthes speciosa,,LR/nt,
Lecythidaceae,Cariniana ,Cariniana decandra,Cachimbo,LC,Maderable
Cyclanthaceae,Carludovida ,Carludovida palmata,Bombonaje,,"Arbustivo, herbaceo"
Caryocaraceae,Caryocar ,Caryocar amygdaliforme,,,
Euphorbiaceae,Caryodendron ,Caryodendron orinocensis,,,
Bombacaceae,Cavanillesia ,Cavanillesia sp1,,,
Cecropiaceae,Cecropia ,Cecropia engleriana,,,
,Cecropia ,Cecropia sciadophylla,,,especie pionera arborea y arbustiva
Meliaceae,Cedrela,Cedrela fissilis,Cedro,Vulnerable,PMB 2015
Meliaceae,Cedrela,Cedrela odorata,Cedro,Vulnerable,PMB 2015
Malvaceae,Ceiba ,Ceiba pentandra,,Casi amenazado (NT),
Malvaceae,Ceiba,Ceiba petandra,Lupuna,Casi amenaza,PMB 2015
Arecaceae,Chelyocarpus ,Chelyocarpus ulei,Falso bombonaje,,"Arbustivo, herbaceo"
Chrysobalanaceae,Chrysobalanaceae ,Chrysobalanaceae sp1,,,
Chrysobalanaceae,Chrysobalanaceae ,Chrysobalanaceae sp2,,,
Clusiaceae,Chrysochlamys ,Chrysochlamys sp1,,,
,Chrysophyllum ,Chrysophyllum venezualense,,,Especies de arboles mas comunes
Rutaceae,Citrus ,Citrus paradisi,Toronja,,Frutales
Moraceae,Clarisia ,Clarisia racemosa,,Casi amenazado (NT),PMB 2015
Melastomataceae,Clidemia ,Clidemia dimorphica,,,"Especies de arbustos comunes, semillas dispersadas por AVES"
Arecaceae,Cocos ,Cocos nucifera,Coco,,Frutales
