species,name,obs
Alectoris rufa,Perdiz….,
Harpia harpyia,Aguila Harpia,NT
Elanoides forficatus,Elanio Tijereta,
Bucco macrodactylus,Buco de gorro castaño,
Coragyps atratus,Gallinazo negro,
Coereba flaveola,Platanerito,
Crotophaga anii,Vacamuchacho,
Micrastur gilvicollis,Halcon montés de ojo blanco,
Psarocolius angustifrons,Oropendola de dorso bermejo,
Psarocolius decumanus,Oropendola crestada,
Psarocolius bifasciatus,Oropendola olivaceae,
Picumnus rufiventris,Carpintero de pecho rufo,
Melanerpes cruentatus,Carpintero de penacho amarillo,
Pichumnus sp,Carpintero,
Pipra fasciicauda,Saltarin de cola bandeada amarilla,
Ara chloropterus,Guacamayo rojo y verde,NT
Ara severus,Guacamayo verde o maracana,
Myrmeciza hemimelaena,,
Percnostola lophotes,,
Hypocnemis subflava,,
Thamnomanes schistogynus,,
Myrmoborus leucophrys,,
Myrmoborus myotherinus,,
Xiphorhynchus guttatus,,
Automulus ochrolaemus,,
Thamnophilus schitaceus,,
Myiophobus fasciatus,,M. Austral
Elaenia parvirostris,,M. Boreal
Empidonax alnorum,,M. Boreal
Lipaugus vociferans,,
Cercomacra cinerascens,,
Chlorothraupis carmioli,,
Tyranneutes stolzmanni,,
Willisornis poecilinotus,,
Microcerculus marginatus,,
Formicarius analis,,
Phaethomis malaris,,
Tinamus major,,
Patagioenas subvinacea,,
Ceratopipra chloromeros,,
Myrmothera campanisona,,
Thamnophilus schistaceus,,
Chloroceryle americana,,
Frederickena unduligera,,
Philydor pyrrhodes,,
Terenotriccus erythrurus,,
Arremon taciturnus,,
Turdus albicollis,,
Mionectes oleagineus,,
Thamnophilus ardesiacus,,
Glyphorynchus spirurus,,
Mionectes olivaceus,,
Cryptopipo holochlora,,
Coccyzus melacoryphus,,Migratoria boreal
Catharus ustulatus,,Migratoria boreal
Myiozetetes luteiventris,,Migratoria boreal
