"df.fails"
""
"Amaurospiza concolor"
"Anthus chii"
"Anurolimnas castaneiceps"
"Anurolimnas fasciatus"
"Anurolimnas viridis"
"Asthenes sclateri"
"Bucco macrodactylus"
"Bucco tamatia"
"Catharus  maculatus"
"Celeus grammicus"
"Chalcothraupis ruficervix"
"Chlorophonia cyanocephala"
"Chlorothraupis frenata"
"Chroicocephalus cirrocephalus"
"Chroicocephalus maculipennis"
"Chroicocephalus serranus"
"Cnemarchus rufipennis"
"Colibri cyanotus"
"Cranioleuca gutturata"
"Dendroma erythroptera"
"Dendroma rufa"
"Dryobates affinis"
"Dryobates callonotus"
"Dryobates dignus"
"Dryobates fumigatus"
"Dryobates kirkii"
"Dryobates nigriceps"
"Dryobates passerinus"
"Dryocopus lineatus"
"Empidonomus aurantioatrocristatus"
"Eucometis penicillate"
"Forpus crassirostris"
"Frederickena fulva"
"Grallaria ayacuchensis"
"Grallaria cajamarcae"
"Grallaria centralis"
"Grallaria gravesi"
"Grallaria obscura"
"Grallaria occabambae"
"Grallaria oneilli"
"Grallaria saturata"
"Grallaria sinaensis"
"Haplospiza rustica"
"Herpsilochmus frater"
"Himantopus mexicanus"
"Hydrobates leucorhoa"
"Idiopsar erythronotus"
"Idiopsar speculifer"
"Ixothraupis punctata"
"Ixothraupis varia"
"Ixothraupis xanthogastra"
"Leucophaeus atricilla"
"Leucophaeus modestus"
"Leucophaeus pipixcan"
"Loriotus cristatus"
"Loriotus luctuosus"
"Loriotus rufiventer"
"Megascops roraimae"
"Microspizias collaris"
"Microspizias superciliosus"
"Mustelirallus albicollis"
"Mustelirallus erythrops"
"Myrmothera berlepschi"
"Myrmothera fulviventris"
"Nengetus cinereus"
"Nystalus obamai"
"Ochthoeca diadema"
"Ochthoeca frontalis"
"Ochthoeca jelskii"
"Ochthoeca pulchella"
"Oressochen jubatus"
"Oressochen melanopterus"
"Pachyramphus salvini"
"Phalacrocorax bougainvillii"
"Phalacrocorax brasilianus"
"Phalacrocorax gaimardi"
"Phalaropus tricolor"
"Polioptila clementsi"
"Porphyrio martinica"
"Pseudocolaptes boissonneautii"
"Pyriglena maura"
"Ramphocaenus sticturus"
"Rauenia bonariensis"
"Rhopospina alaudina"
"Sclerurus obscurior"
"Scytalopus androstictus"
"Scytalopus frankeae"
"Scytalopus intermedius"
"Scytalopus krabbei"
"Scytalopus whitneyi"
"Sicalis uropygialis"
"Stercorarius chilensis"
"Stercorarius maccormicki"
"Stilpnia argyrofenges"
"Stilpnia cayana"
"Stilpnia cyanicollis"
"Stilpnia meyerdeschauenseei"
"Stilpnia nigrocincta"
"Stilpnia phillipsi"
"Stilpnia viridicollis"
"Strix albitarsis"
"Strix huhula"
"Strix nigrolineata"
"Strix virgata"
"Syrtidicola fluviatilis"
"Tachycineta leucopyga"
"Tachyphonus surinamus"
"Tephrospilus wetmorei"
"Thamnistes rufescens"
"Thraupis episcopus"
"Thraupis palmarum"
"Thraupis sayaca"
"Thripophaga berlepschi"
"Trogon caligatus"
"Trogon ramonianus"
"Tumbezia salvini"
"Uranomitra franciae"
"Vanellus cayanus"
"Xenops rutilans"
