"df.fails"
""
"“Colostethus” poecilonotus"
"Adenomera simonstuarti"
"Allobates alessandroi"
"Allophryne resplendens"
"Amazophrynella amazonicola"
"Amazophrynella javierbustamantei"
"Amazophrynella matses"
"Amazophrynella siona"
"Ameerega altamazonica"
"Ameiva reticulata"
"Amphisbaena bassleri"
"Amphisbaena townsendi"
"Anolis peruensis"
"Boa constrictor (Boa constrictor ortonii)"
"Boana maculateralis"
"Bothrops matogrossensis"
"Bothrops roedingeri"
"Bryophryne flammiventris"
"Bryophryne gymnotis"
"Bryophryne mancoinca"
"Bryophryne quellokunka"
"Bryophryne tocra"
"Bryophyrne wilakunka"
"Callimedusa baltea (Phyllomedusa baltea)"
"Centrolene hesperium"
"Cercosaura bassleri"
"Cercosaura doanae"
"Chelonoidis carbonarius"
"Chelonoidis denticulatus"
"Chelus fimbriata"
"Chiasmocleis royi"
"Chiasmocleis supercilialba"
"Colomascirtus armatus"
"Ctenophryne barbatula (Melanophryne barbatula)"
"Ctenophryne carpish (Melanophryne carpish)"
"Dendropsophus kamagarini"
"Dendropsophus kubricki"
"Dendropsophus reticulatus"
"Dendropsophus salli"
"Elachistocleis muiraquitan"
"Enyalioides anisolepis"
"Enyalioides sophiarothschildae"
"Epictia antoniogarciai"
"Epictia melanura"
"Epictia septemlineata"
"Epictia tenella"
"Epictia vanwallachi"
"Epictia venegasi"
"Epictia vonmayi"
"Erythrolamprus pygmaeus"
"Euspondylus excelsum"
"Euspondylus josyi"
"Euspondylus paxcorpus"
"Eutrachelophis bassleri"
"Hamptophryne alios (Altigius alios)"
"Hyloxalus peruvianus"
"Hyloxalus yasuni"
"Hypodactylus araiodactylus"
"Hypodactylus fallaciosus"
"Hypodactylus lucida"
"Hypodactylus nigrovittatus"
"Kinosternon leucostomum"
"Kinosternon scorpioides"
"Leucostethus argyrogaster (Colostethus argyrogaster)"
"Medopheos edracanthus"
"Mesoclemmys gibba"
"Mesoclemmys heliostemma"
"Mesoclemmys nasuta"
"Mesoclemmys raniceps"
"Microkayla boettgeri (Psychrophrynella boettgeri)"
"Microkayla chapi"
"Microkayla chilina"
"Osteocephalus cannatellai"
"Osteocephalus festae"
"Osteocephalus mimeticus"
"Petracola angustisoma"
"Philodryas simonsii"
"Philodryas tachymenoides"
"Pholidobolus ulisesi"
"Phrynops geoffroanus"
"Phrynops tuberosus"
"Phrynopus mariellaleo"
"Phyllodactylus magister (Phyllodactylus reissii)"
"Phyllodactylus pachamama"
"Phyllomedusa chaparroi"
"Platemys platycephala"
"Potamites erythrocularis"
"Potamotyphlus kaupii"
"Pristimantis academicus"
"Pristimantis antisuyu"
"Pristimantis brevicrus"
"Pristimantis cruciocularis (Pristimantis flavobracatus)"
"Pristimantis erythroinguinis"
"Pristimantis miktos"
"Pristimantis reichlei"
"Proctoporus machupicchu"
"Psychrophrynella glauca"
"Ranitomeya cyanovittata"
"Rhaebo ecuadorensis"
"Rhinella ceratophrys"
"Rhinella lilyrodriguezae"
"Scinax onca"
"Sibynomorphus oligozonatus"
"Sibynomorphus oneilli"
"Sibynomorphus petersi"
"Sibynomorphus vagrans"
"Sibynomorphus vagus"
"Sibynomorphus williamsi"
"Stenocercus amydrorhytus"
"Stenocercus johaberfellneri"
"Stenocercus omari"
"Synophis insulomontanus"
"Tachymenis elongata"
"Tantilla tjiasmantoi"
"Telmatobius mantaro"
"Trachycephalus cunauaru"
"Trachycephalus macrotis"
"Tupinambis cuzcoensis"
